InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01-12-2010 08:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,01-12-2010 08:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,01-12-2010 08:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01-12-2010 08:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,01-12-2010 08:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,01-12-2010 08:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,01-12-2010 08:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,01-12-2010 08:34,2.10,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,01-12-2010 08:34,2.10,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,01-12-2010 08:34,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,6,01-12-2010 08:34,1.65,13047,United Kingdom
536368,22720,FELTCRAFT CUSHION OWL,6,01-12-2010 09:00,3.50,15000,France
536368,22721,FELTCRAFT CUSHION FOX,6,01-12-2010 09:00,3.50,15000,France
536368,22722,FELTCRAFT CUSHION RABBIT,4,01-12-2010 09:00,3.50,15000,France
536369,22045,REGENCY TEA PLATE GREEN,6,01-12-2010 09:10,1.95,16000,Germany
536369,22046,REGENCY TEA PLATE ROSE,6,01-12-2010 09:10,1.95,16000,Germany
536369,22047,REGENCY TEA PLATE BLUE,6,01-12-2010 09:10,1.95,16000,Germany
536370,22138,BUNNY WOODEN PICTURE FRAME,3,01-12-2010 09:15,4.25,17000,France
536370,22139,BUNNY WOODEN MIRROR,2,01-12-2010 09:15,4.95,17000,France
536371,22740,MINI CAKE STAND WITH HARE,5,01-12-2010 09:20,5.95,18000,Germany
536371,22741,MINI CAKE STAND WITH FOX,5,01-12-2010 09:20,5.95,18000,Germany
536372,22356,WOODLAND CHARLOTTE BAG,4,01-12-2010 09:30,3.25,19000,France
536372,22357,WOODLAND COTTON TOTE BAG,6,01-12-2010 09:30,3.25,19000,France
536372,22358,WOODLAND CUSHION COVER,3,01-12-2010 09:30,4.75,19000,France
